emoji,description_en,description_es,description_pt
👩🏿‍🦼‍➡️,woman in motorized wheelchair facing right dark skin tone,Mujer en silla de ruedas motorizada que mira a la derecha tono de piel oscura,Mulher em cadeira de rodas motorizada voltada para o tom da pele escura direita
👩🏿‍🦼‍➡,woman in motorized wheelchair facing right dark skin tone,Mujer en silla de ruedas motorizada que mira a la derecha tono de piel oscura,Mulher em cadeira de rodas motorizada voltada para o tom da pele escura direita
👩🏻‍🦼‍➡️,woman in motorized wheelchair facing right light skin tone,Mujer en silla de ruedas motorizada que mira el tono de piel clara derecha,Mulher em cadeira de rodas motorizada voltada para o tom da pele clara
👩🏻‍🦼‍➡,woman in motorized wheelchair facing right light skin tone,Mujer en silla de ruedas motorizada que mira el tono de piel clara derecha,Mulher em cadeira de rodas motorizada voltada para o tom da pele clara
👩🏾‍🦼‍➡️,woman in motorized wheelchair facing right medium-dark skin tone,Mujer en silla de ruedas motorizada que mira a la derecha tono de piel medio-oscuridad,Mulher em cadeira de rodas motorizada voltada para o tom da pele média-escuro
👩🏾‍🦼‍➡,woman in motorized wheelchair facing right medium-dark skin tone,Mujer en silla de ruedas motorizada que mira a la derecha tono de piel medio-oscuridad,Mulher em cadeira de rodas motorizada voltada para o tom da pele média-escuro
👩🏼‍🦼‍➡️,woman in motorized wheelchair facing right medium-light skin tone,Mujer en silla de ruedas motorizada que enfrenta el tono de piel de luz media derecha,Mulher em cadeira de rodas motorizada voltada para o tom da pele média à direita
👩🏼‍🦼‍➡,woman in motorized wheelchair facing right medium-light skin tone,Mujer en silla de ruedas motorizada que enfrenta el tono de piel de luz media derecha,Mulher em cadeira de rodas motorizada voltada para o tom da pele média à direita
👩🏽‍🦼‍➡️,woman in motorized wheelchair facing right medium skin tone,Mujer en silla de ruedas motorizada que mira el tono de piel medio derecho,Mulher em cadeira de rodas motorizada voltada para o tom da pele média
👩🏽‍🦼‍➡,woman in motorized wheelchair facing right medium skin tone,Mujer en silla de ruedas motorizada que mira el tono de piel medio derecho,Mulher em cadeira de rodas motorizada voltada para o tom da pele média
👩🏻‍🦼,woman in motorized wheelchair light skin tone,Mujer en el tono de piel clara de silla de ruedas motorizada,Mulher em tom de pele leve para cadeira de rodas motorizada
👩🏾‍🦼,woman in motorized wheelchair medium-dark skin tone,Mujer en silla de ruedas motorizada tono de piel medio-oscuridad,Mulher em cadeira de rodas motorizada tom de pele média-escuro
👩🏼‍🦼,woman in motorized wheelchair medium-light skin tone,mujer en silla de ruedas motorizada tono de piel de luz media,Mulher em cadeira de rodas motorizada tom de pele média
👩🏽‍🦼,woman in motorized wheelchair medium skin tone,Mujer en el tono de piel mediana de silla de ruedas motorizada,Mulher em tom de pele de cadeira de rodas motorizada
🧖‍♀️,woman in steamy room,Mujer en la habitación humeante,Mulher no quarto vapor
🧖‍♀,woman in steamy room,Mujer en la habitación humeante,Mulher no quarto vapor
🧖🏿‍♀️,woman in steamy room dark skin tone,Mujer en la habitación de vapor tono de piel oscura,Mulher em um tom de pele escura de quarto fumegante
🧖🏿‍♀,woman in steamy room dark skin tone,Mujer en la habitación de vapor tono de piel oscura,Mulher em um tom de pele escura de quarto fumegante
🧖🏻‍♀️,woman in steamy room light skin tone,Mujer en la habitación de la sala de vapor tono de piel clara,Mulher em um tom de pele clara da sala fumegante
🧖🏻‍♀,woman in steamy room light skin tone,Mujer en la habitación de la sala de vapor tono de piel clara,Mulher em um tom de pele clara da sala fumegante
🧖🏾‍♀️,woman in steamy room medium-dark skin tone,Mujer en la habitación humeante tono de piel medio-oscuridad,Mulher em um tom de pele de quarto fumegante
🧖🏾‍♀,woman in steamy room medium-dark skin tone,Mujer en la habitación humeante tono de piel medio-oscuridad,Mulher em um tom de pele de quarto fumegante
🧖🏼‍♀️,woman in steamy room medium-light skin tone,Mujer en la habitación humeante tono de piel de luz media,Mulher em um tom de pele de luz fumegante
🧖🏼‍♀,woman in steamy room medium-light skin tone,Mujer en la habitación humeante tono de piel de luz media,Mulher em um tom de pele de luz fumegante
🧖🏽‍♀️,woman in steamy room medium skin tone,Mujer en la habitación humeante tono de piel mediana,Mulher em um tom de pele média
🧖🏽‍♀,woman in steamy room medium skin tone,Mujer en la habitación humeante tono de piel mediana,Mulher em um tom de pele média
🤵‍♀️,woman in tuxedo,Mujer en Tuxedo,Mulher em Tuxedo
🤵‍♀,woman in tuxedo,Mujer en Tuxedo,Mulher em Tuxedo
🤵🏿‍♀️,woman in tuxedo dark skin tone,Mujer en Tuxedo Dark Skin Tone,Mulher em Tuxedo Dark Skin Tom
🤵🏿‍♀,woman in tuxedo dark skin tone,Mujer en Tuxedo Dark Skin Tone,Mulher em Tuxedo Dark Skin Tom
🤵🏻‍♀️,woman in tuxedo light skin tone,Mujer en el tono de piel claro de esmoquin,Mulher em Tuxedo Light Skin Tom
🤵🏻‍♀,woman in tuxedo light skin tone,Mujer en el tono de piel claro de esmoquin,Mulher em Tuxedo Light Skin Tom
🤵🏾‍♀️,woman in tuxedo medium-dark skin tone,Mujer en Tuxedo Medium-Dark Skin Tono,Mulher em Tuxedo Médio Dark Skin Tom
🤵🏾‍♀,woman in tuxedo medium-dark skin tone,Mujer en Tuxedo Medium-Dark Skin Tono,Mulher em Tuxedo Médio Dark Skin Tom
🤵🏼‍♀️,woman in tuxedo medium-light skin tone,Mujer en un tuxedo tono de piel de luz media,Mulher em Tuxedo Light Skin Tom
🤵🏼‍♀,woman in tuxedo medium-light skin tone,Mujer en un tuxedo tono de piel de luz media,Mulher em Tuxedo Light Skin Tom
🤵🏽‍♀️,woman in tuxedo medium skin tone,Mujer en el tuxedo tono de piel mediana,Mulher em tom de pele de smoking
🤵🏽‍♀,woman in tuxedo medium skin tone,Mujer en el tuxedo tono de piel mediana,Mulher em tom de pele de smoking
👩‍⚖️,woman judge,Mujer juez,Mulher Juiz
👩‍⚖,woman judge,Mujer juez,Mulher Juiz
👩🏿‍⚖️,woman judge dark skin tone,mujer juzga tono de piel oscura,Mulher juiz tom de pele escura
👩🏿‍⚖,woman judge dark skin tone,mujer juzga tono de piel oscura,Mulher juiz tom de pele escura
👩🏻‍⚖️,woman judge light skin tone,Mujer juzga tono de piel clara,Mulher Juiz Tom leve de pele
👩🏻‍⚖,woman judge light skin tone,Mujer juzga tono de piel clara,Mulher Juiz Tom leve de pele
👩🏾‍⚖️,woman judge medium-dark skin tone,Mujer juez de piel mediana-oscuridad,Mulher juiz tom de pele média escuro
👩🏾‍⚖,woman judge medium-dark skin tone,Mujer juez de piel mediana-oscuridad,Mulher juiz tom de pele média escuro
👩🏼‍⚖️,woman judge medium-light skin tone,Mujer juez tono de piel de luz media,Mulher juiz tom de pele de luz média
👩🏼‍⚖,woman judge medium-light skin tone,Mujer juez tono de piel de luz media,Mulher juiz tom de pele de luz média
👩🏽‍⚖️,woman judge medium skin tone,Mujer juez tono de piel mediana,Mulher juiz tom de pele média
👩🏽‍⚖,woman judge medium skin tone,Mujer juez tono de piel mediana,Mulher juiz tom de pele média
🤹‍♀️,woman juggling,mujer malabarista,Mulher malabarista
🤹‍♀,woman juggling,mujer malabarista,Mulher malabarista
🤹🏿‍♀️,woman juggling dark skin tone,Mujer malabares con tono de piel oscura,Mulher manipulando o tom de pele escura
🤹🏿‍♀,woman juggling dark skin tone,Mujer malabares con tono de piel oscura,Mulher manipulando o tom de pele escura
🤹🏻‍♀️,woman juggling light skin tone,Mujer malabarista de tono de piel clara,Mulher manipulando o tom de pele leve
🤹🏻‍♀,woman juggling light skin tone,Mujer malabarista de tono de piel clara,Mulher manipulando o tom de pele leve
🤹🏾‍♀️,woman juggling medium-dark skin tone,Mujer malabares con tono de piel medio-oscuridad,Mulher manipulando o tom de pele de médio escuro
🤹🏾‍♀,woman juggling medium-dark skin tone,Mujer malabares con tono de piel medio-oscuridad,Mulher manipulando o tom de pele de médio escuro
🤹🏼‍♀️,woman juggling medium-light skin tone,Mujer que hace malabares con tono de piel de luz media,Mulher manipulando tom de pele de luz média
🤹🏼‍♀,woman juggling medium-light skin tone,Mujer que hace malabares con tono de piel de luz media,Mulher manipulando tom de pele de luz média
🤹🏽‍♀️,woman juggling medium skin tone,Mujer malabares con tono de piel mediana,Mulher manipulando tom de pele média
🤹🏽‍♀,woman juggling medium skin tone,Mujer malabares con tono de piel mediana,Mulher manipulando tom de pele média
🧎‍♀️,woman kneeling,Mujer arrodillado,Mulher ajoelhada
🧎‍♀,woman kneeling,Mujer arrodillado,Mulher ajoelhada
🧎🏿‍♀️,woman kneeling dark skin tone,Mujer arrodillado tono de piel oscura,Mulher ajoelhando o tom escuro da pele
🧎🏿‍♀,woman kneeling dark skin tone,Mujer arrodillado tono de piel oscura,Mulher ajoelhando o tom escuro da pele
🧎‍♀️‍➡️,woman kneeling facing right,Mujer arrodillada frente a la derecha,Mulher ajoelhada de frente para a direita
🧎‍♀‍➡️,woman kneeling facing right,Mujer arrodillada frente a la derecha,Mulher ajoelhada de frente para a direita
🧎‍♀️‍➡,woman kneeling facing right,Mujer arrodillada frente a la derecha,Mulher ajoelhada de frente para a direita
🧎‍♀‍➡,woman kneeling facing right,Mujer arrodillada frente a la derecha,Mulher ajoelhada de frente para a direita
🧎🏿‍♀️‍➡️,woman kneeling facing right dark skin tone,Mujer arrodillada mirando a la derecha tono de piel oscura,Mulher ajoelhada de frente para o tom da pele escura direita
🧎🏿‍♀‍➡️,woman kneeling facing right dark skin tone,Mujer arrodillada mirando a la derecha tono de piel oscura,Mulher ajoelhada de frente para o tom da pele escura direita
🧎🏿‍♀️‍➡,woman kneeling facing right dark skin tone,Mujer arrodillada mirando a la derecha tono de piel oscura,Mulher ajoelhada de frente para o tom da pele escura direita
🧎🏿‍♀‍➡,woman kneeling facing right dark skin tone,Mujer arrodillada mirando a la derecha tono de piel oscura,Mulher ajoelhada de frente para o tom da pele escura direita
🧎🏻‍♀️‍➡️,woman kneeling facing right light skin tone,Mujer arrodillada mirando a la luz derecha tono de piel claro,Mulher ajoelhada de frente para o tom da pele clara
🧎🏻‍♀‍➡️,woman kneeling facing right light skin tone,Mujer arrodillada mirando a la luz derecha tono de piel claro,Mulher ajoelhada de frente para o tom da pele clara
🧎🏻‍♀️‍➡,woman kneeling facing right light skin tone,Mujer arrodillada mirando a la luz derecha tono de piel claro,Mulher ajoelhada de frente para o tom da pele clara
🧎🏻‍♀‍➡,woman kneeling facing right light skin tone,Mujer arrodillada mirando a la luz derecha tono de piel claro,Mulher ajoelhada de frente para o tom da pele clara
🧎🏾‍♀️‍➡️,woman kneeling facing right medium-dark skin tone,Mujer arrodillada mirando a la derecha tono de piel medio-oscuridad,Mulher ajoelhada voltada para o tom da pele média-escura
🧎🏾‍♀‍➡️,woman kneeling facing right medium-dark skin tone,Mujer arrodillada mirando a la derecha tono de piel medio-oscuridad,Mulher ajoelhada voltada para o tom da pele média-escura
🧎🏾‍♀️‍➡,woman kneeling facing right medium-dark skin tone,Mujer arrodillada mirando a la derecha tono de piel medio-oscuridad,Mulher ajoelhada voltada para o tom da pele média-escura
🧎🏾‍♀‍➡,woman kneeling facing right medium-dark skin tone,Mujer arrodillada mirando a la derecha tono de piel medio-oscuridad,Mulher ajoelhada voltada para o tom da pele média-escura
🧎🏼‍♀️‍➡️,woman kneeling facing right medium-light skin tone,Mujer arrodillada frente a la derecha tono de piel de luz media,Mulher ajoelhada voltada para o tom da pele média à direita
🧎🏼‍♀‍➡️,woman kneeling facing right medium-light skin tone,Mujer arrodillada frente a la derecha tono de piel de luz media,Mulher ajoelhada voltada para o tom da pele média à direita
🧎🏼‍♀️‍➡,woman kneeling facing right medium-light skin tone,Mujer arrodillada frente a la derecha tono de piel de luz media,Mulher ajoelhada voltada para o tom da pele média à direita
🧎🏼‍♀‍➡,woman kneeling facing right medium-light skin tone,Mujer arrodillada frente a la derecha tono de piel de luz media,Mulher ajoelhada voltada para o tom da pele média à direita
🧎🏽‍♀️‍➡️,woman kneeling facing right medium skin tone,Mujer arrodillada mirando a la derecha tono de piel medio,Mulher ajoelhada voltada para o tom da pele média
🧎🏽‍♀‍➡️,woman kneeling facing right medium skin tone,Mujer arrodillada mirando a la derecha tono de piel medio,Mulher ajoelhada voltada para o tom da pele média
🧎🏽‍♀️‍➡,woman kneeling facing right medium skin tone,Mujer arrodillada mirando a la derecha tono de piel medio,Mulher ajoelhada voltada para o tom da pele média
🧎🏽‍♀‍➡,woman kneeling facing right medium skin tone,Mujer arrodillada mirando a la derecha tono de piel medio,Mulher ajoelhada voltada para o tom da pele média
🧎🏻‍♀️,woman kneeling light skin tone,mujer arrodillado tono de piel claro,Mulher ajoelhando o tom da pele clara
🧎🏻‍♀,woman kneeling light skin tone,mujer arrodillado tono de piel claro,Mulher ajoelhando o tom da pele clara
🧎🏾‍♀️,woman kneeling medium-dark skin tone,Mujer arrodillado tono de piel medio-oscuridad,Mulher ajoelhando o tom de pele média-escuro
🧎🏾‍♀,woman kneeling medium-dark skin tone,Mujer arrodillado tono de piel medio-oscuridad,Mulher ajoelhando o tom de pele média-escuro
🧎🏼‍♀️,woman kneeling medium-light skin tone,Mujer arrodillado tono de piel de luz media,Mulher ajoelhando o tom da pele de luz média
🧎🏼‍♀,woman kneeling medium-light skin tone,Mujer arrodillado tono de piel de luz media,Mulher ajoelhando o tom da pele de luz média
🧎🏽‍♀️,woman kneeling medium skin tone,Mujer tono de piel mediana arrodillada,Mulher ajoelhando o tom de pele média
🧎🏽‍♀,woman kneeling medium skin tone,Mujer tono de piel mediana arrodillada,Mulher ajoelhando o tom de pele média
🏋️‍♀️,woman lifting weights,Mujer levantando pesas,Mulher levantando pesos
